fips,state,total,white,black,native,asian,pac,other,two,hispanic,non_hispanic_white,year
0400000US06,California,9182670,5298401,532595,73461,1000911,36731,1505958,743796,4738258,2460956,2014
0400000US08,Colorado,1231137,967674,54170,13543,33241,1231,80024,81255,380421,705442,2014
0400000US09,Connecticut,792110,558438,95053,2376,34853,0,53071,47527,165551,468929,2014
0400000US10,Delaware,203883,123553,53010,408,7136,204,6524,13049,28544,106019,2014
0400000US11,District of Columbia,107384,26953,67222,322,1826,0,6121,4940,14712,20618,2014
0400000US12,Florida,4005984,2712051,849269,12018,100150,4006,132197,200299,1149717,1778657,2014
0400000US13,Georgia,2482590,1340599,844081,7448,81925,0,104269,104269,330184,1146957,2014
0400000US15,Hawaii,305122,49735,6102,305,79637,40581,2746,126321,49735,41497,2014
0400000US16,Idaho,427103,380549,2990,5979,5125,427,13240,18793,75170,325452,2014
0400000US17,Illinois,3047919,2020770,490715,6096,134108,0,256025,140204,725405,1600157,2014
0400000US18,Indiana,1586314,1250015,174495,3173,26967,0,55521,76143,160218,1159596,2014
0400000US19,Iowa,722216,626161,32500,2167,14444,722,13722,32500,66444,580662,2014
0400000US20,Kansas,722653,581736,46250,6504,17344,723,21680,48418,125742,490681,2014
0400000US21,Kentucky,1014314,845938,90274,2029,14200,1014,15215,47673,53759,813480,2014
0400000US22,Louisiana,1112168,619478,418175,7785,16683,0,13346,36702,61169,579440,2014
0400000US23,Maine,264224,240972,5284,1850,3699,0,1057,11362,6606,236480,2014
0400000US24,Maryland,1345163,692759,431797,4035,75329,0,60532,82055,164110,608014,2014
0400000US25,Massachusetts,1395640,1028587,122816,2791,82343,0,79551,79551,220511,918331,2014
0400000US26,Michigan,2266409,1659011,367158,13598,63459,0,36263,126919,174513,1545691,2014
0400000US27,Minnesota,1275630,984786,96948,17859,67608,0,29339,77813,105877,921005,2014
0400000US28,Mississippi,740280,383465,320541,4442,5922,0,6663,18507,28131,365698,2014
0400000US29,Missouri,1399783,1087631,190370,5599,22397,1400,22397,69989,83987,1035839,2014
0400000US30,Montana,222036,184290,1332,22204,1332,0,1554,11324,11768,176519,2014
0400000US31,Nebraska,460008,382267,27140,5980,8740,460,13340,22080,73141,328906,2014
0400000US32,Nevada,659680,419556,60031,7256,38261,4618,73884,55413,263872,252657,2014
0400000US33,New Hampshire,274558,248475,4393,549,7688,0,2471,10982,14002,238591,2014
0400000US34,New Jersey,2030110,1285060,300456,6090,180680,0,160379,97445,483166,1010995,2014
0400000US35,New Mexico,509121,343148,11201,56003,5600,509,64658,28511,299872,130844,2014
0400000US36,New York,4245904,2522067,730295,16984,301459,0,450066,225033,985050,2122952,2014
0400000US37,North Carolina,2278081,1423801,537627,29615,56952,2278,111626,118460,328044,1234720,2014
0400000US38,North Dakota,157746,130298,3313,13251,1577,158,1577,7730,6941,126512,2014
0400000US39,Ohio,2666652,2053322,381331,2667,48000,0,32000,149333,141333,1965323,2014
0400000US40,Oklahoma,937763,599231,75021,87212,15942,1876,32822,125660,142540,517645,2014
0400000US41,Oregon,857170,672878,18858,12000,31715,4286,51430,64288,182577,559732,2014
0400000US42,Pennsylvania,2729640,2055419,368501,5459,84619,0,81889,133752,275694,1908018,2014
0400000US44,Rhode Island,216506,157400,19486,1083,7145,217,18403,12774,47415,134450,2014
0400000US45,South Carolina,1075708,646501,338848,3227,12908,1076,23666,48407,87132,592715,2014
0400000US46,South Dakota,204432,157004,4498,27598,2453,0,2249,10426,10222,151689,2014
0400000US47,Tennessee,1487986,1068374,296109,4464,23808,1488,35712,61007,119039,995463,2014
0400000US48,Texas,6971181,5026222,843513,34856,250963,6971,515867,285818,3401936,2307461,2014
0400000US49,Utah,884651,756377,11500,9731,13270,9731,45117,38925,148621,664373,2014
0400000US50,Vermont,124238,114423,1739,373,1739,0,497,5466,2982,112311,2014
0400000US51,Virginia,1856827,1175371,388077,3714,107696,1857,53848,126264,220962,1036109,2014
0400000US53,Washington,1585537,1124146,65007,26954,106231,12684,91961,160139,315522,940223,2014
0400000US54,West Virginia,381648,348063,12213,382,2290,0,1908,17174,7633,342720,2014
0400000US55,Wisconsin,1313243,1045341,114252,14446,40711,0,32831,64349,141830,953414,2014
0400000US56,Wyoming,136168,118602,1362,4494,953,0,3540,7081,18927,106620,2014
0400000US72,Puerto Rico,834727,568449,57596,2504,3339,0,96828,105176,828049,5008,2014
0400000US01,Alabama,1090304,670537,320549,4361,15264,1090,29438,50154,83953,628015,2020
0400000US02,Alaska,182779,94680,5118,34545,10601,4021,2924,30890,18278,86089,2020
0400000US04,Arizona,1635374,1087524,85039,88310,45790,3271,132465,192974,727741,626348,2020
0400000US05,Arkansas,699953,479468,122492,4200,10499,4200,31498,48297,86094,436071,2020
0400000US06,California,8931838,4555237,473387,71455,1089684,26796,1545208,1179003,4599897,2224028,2020
0400000US08,Colorado,1255409,955366,57749,11299,37662,2511,60260,129307,395454,694241,2020
0400000US09,Connecticut,733755,482077,89518,2201,35220,734,52830,71174,179770,394760,2020
0400000US10,Delaware,203516,118243,52100,611,8548,204,6920,17095,33173,97281,2020
0400000US11,District of Columbia,125429,33615,68610,376,2509,0,11289,9031,20947,26967,2020
0400000US12,Florida,4201528,2646963,857112,12605,109240,4202,168061,407548,1289869,1760440,2020
0400000US13,Georgia,2499876,1274937,842458,10000,97495,2500,104995,169992,362482,1082446,2020
0400000US15,Hawaii,300816,49334,4813,602,73399,40610,4211,128148,57757,39407,2020
0400000US16,Idaho,443359,377742,3547,5320,4877,443,21281,30148,82021,330746,2020
0400000US17,Illinois,2849148,1812058,435920,8547,142457,0,225083,222234,698041,1447367,2020
0400000US18,Indiana,1565015,1195671,173717,3130,35995,0,50080,104856,176847,1098641,2020
0400000US19,Iowa,725141,606943,37707,2901,18129,1450,13053,44959,74690,557633,2020
0400000US20,Kansas,703449,548690,41503,4924,19697,703,25324,62607,131545,464276,2020
0400000US21,Kentucky,1003381,814745,91308,1003,18061,1003,18061,59199,64216,779627,2020
0400000US22,Louisiana,1094979,594574,398572,5475,17520,1095,22995,54749,75554,554059,2020
0400000US23,Maine,249515,223066,5988,2495,2745,0,1497,13723,7236,219324,2020
0400000US24,Maryland,1337764,630087,412031,2676,78928,0,94981,119061,207353,551159,2020
0400000US25,Massachusetts,1355933,931526,124746,2712,90848,0,78644,127458,249492,813560,2020
